Watchlist Scanner

Results
Symbol,Description,Market Cap,Last,Net Chng,%Change,Volume,Bid,Ask,EPS,Free Cash Flow Per Share - Current (Annual),Vol Index
BUD,ANHEUSER-BUSCH INBEV SA/NV ADR SPONSORED,"108,695 M",62.57,-1.11,-1.74%,"1,354,981",57.70,70.06,2.47,$2.67,51.16%
SPG,SIMON PROPERTY GROUP INC COM USD0.0001,"46,608 M",141.83,-2.15,-1.49%,"2,157,559",135.01,141.79,6.84,$2.66,42.84%
NKE,NIKE INC COM CL B,"221,666 M",140.18,-4.64,-3.20%,"6,710,525",140.20,140.24,3.81,$2.66,37.79%
JNJ,JOHNSON & JOHNSON COM,"441,513 M",167.71,-1.71,-1.01%,"13,125,328",167.33,167.99,7.81,$2.63,24.12%
EMR,EMERSON ELECTRIC CO COM,"56,276 M",94.74,-2.13,-2.20%,"3,620,279",93.00,100.00,4.58,$2.63,29.07%
INCY,INCYTE CORPORATION COM,"14,776 M",66.76,-.14,-0.21%,"1,577,904",65.49,67.66,4.27,$2.63,47.89%
NBIX,NEUROCRINE BIOSCIENCES INC COM,"8,114 M",85.53,+5.93,+7.45%,"2,125,912",85.25,85.77,4.54,$2.61,43.03%
CPRT,COPART INC COM,"28,771 M",121.30,-7.13,-5.55%,"2,094,885",121.00,121.67,4.15,$2.60,50.57%
CHD,CHURCH & DWIGHT COM,"23,692 M",97.90,-.81,-0.82%,"4,228,173",92.11,100.00,3.32,$2.58,28.14%
TEVA,TEVA PHARMACEUTICAL INDUSTRIES ADR SPONSORED,"9,411 M",8.53,-.28,-3.18%,"9,544,878",8.28,8.59,.38,$2.58,51.89%
TGNA,TEGNA INC COM,"4,629 M",20.92,-.24,-1.13%,"1,447,430",20.36,22.50,2.67,$2.56,35.51%
MPWR,MONOLITHIC POWER SYSTEM INC COM,"19,626 M",424.29,+17.00,+4.17%,"1,541,159",423.79,454.00,4.46,$2.56,52.53%
STX,SEAGATE TECHONOLOGY HLDG COM,"23,796 M",108.71,-1.37,-1.24%,"1,734,450",106.18,109.00,7.89,$2.54,45.49%
LKQ,LKQ CORPORATION COM,"15,653 M",53.70,-1.18,-2.15%,"1,471,372",51.57,60.01,3.45,$2.54,58.20%
BRO,BROWN & BROWN INC COM,"18,902 M",66.91,-2.19,-3.17%,"1,919,936",66.64,70.10,2.07,$2.52,39.60%
MNST,MONSTER BEVERAGE CORP COM,"43,813 M",82.80,-1.03,-1.23%,"2,116,737",81.82,84.18,2.86,$2.51,38.79%
ENTG,ENTEGRIS INC COM,"16,869 M",124.48,-7.15,-5.43%,"1,273,814",114.99,132.50,3,$2.51,60.53%
NVO,NOVO NORDISK A/S ADR SPONSORED,"225,304 M",98.91,-5.15,-4.95%,"1,873,691",98.50,103.96,3.157,$2.47,34.75%
CNX,CNX RESOURCES CORPORATION COM,"3,218 M",15.89,+.52,+3.38%,"2,869,957",15.90,16.05,-2.31,$2.46,55.74%
SBH,SALLY BEAUTY HOLDINGS INC COM,"1,881 M",17.09,-.10,-0.58%,"1,401,736",16.50,23.00,2.2,$2.46,62.62%
MU,MICRON TECHNOLOGY INC COM,"100,511 M",89.76,-1.26,-1.38%,"30,999,980",89.60,89.84,6.47,$2.46,53.47%
WBA,WALGREENS BOOTS ALLIANCE INC COM,"42,041 M",48.70,-.52,-1.06%,"7,927,409",48.50,48.68,7.42,$2.46,33.10%
WY,WEYERHAEUSER COMPANY COM USD1.25,"31,058 M",41.56,-.26,-0.62%,"4,442,611",41.29,42.40,3.47,$2.45,45.23%
SBUX,STARBUCKS CORP COM,"107,818 M",93.73,-1.58,-1.66%,"6,924,787",93.61,93.73,3.7,$2.45,35.53%
SBSW,SIBANYE STILLWATER LTD ADR SPONSORED,"11,552 M",16.42,+1.54,+10.35%,"7,764,476",15.85,16.36,4.33,$2.42,76.29%
OTIS,OTIS WORLDWIDE CORP COM,"33,844 M",79.64,-1.91,-2.34%,"2,494,989",78.00,94.57,2.89,$2.41,33.49%
KR,KROGER CO COM,"34,020 M",46.27,+1.10,+2.44%,"6,226,781",44.04,48.00,1.35,$2.40,44.94%
ABT,ABBOTT LABORATORIES COM,"221,902 M",125.49,-2.27,-1.78%,"4,803,244",125.15,159.95,3.94,$2.27,30.50%
AXL,AMER AXLE & MANUFACTURING HLDG COM,905 M,7.93,-.43,-5.14%,"3,953,174",7.70,9.89,.76,$2.25,64.01%
TUP,TUPPERWARE BRANDS CORPORATION COM,933 M,19.09,+.42,+2.25%,"1,224,433",14.32,22.00,.28,$2.24,82.55%
TPX,TEMPUR SEALY INTERNATIONAL INC COM,"7,733 M",40.17,-.52,-1.28%,"1,947,478",30.13,48.00,2.85,$2.24,55.82%
MCFE,MCAFEE CORP COM CL A,"4,807 M",25.80,-.03,-0.12%,"1,274,276",25.51,25.95,3.953,$2.22,11.17%
ADNT,ADIENT PLC COM,"4,264 M",45.00,-1.94,-4.13%,"2,042,182",44.25,45.33,9.43,$2.20,58.61%
DD,DUPONT DE NEMOURS INC COM,"40,575 M",79.28,-1.05,-1.31%,"3,852,662",77.67,87.43,11.89,$2.20,37.45%
GIS,GENERAL MILLS INC COM,"41,054 M",68.06,+.98,+1.46%,"4,301,492",58.00,68.74,3.63,$2.20,23.53%
IFF,INTL FLAVORS & FRAGRANCES INC COM,"34,069 M",133.84,-2.56,-1.88%,"1,974,278",127.15,152.00,1.1,$2.18,35.58%
G,GENPACT LIMITED COM,"8,435 M",44.85,-3.50,-7.24%,"1,775,508",.02,49.80,1.92,$2.16,34.51%
IQ,IQIYI INC ADR,"3,386 M",4.29,-.27,-5.92%,"6,493,554",4.29,4.31,-1.083,$2.15,197.51%
APH,AMPHENOL CORP COM CL A,"45,028 M",75.18,-2.42,-3.12%,"3,241,705",70.00,75.66,2.54,$2.14,35.02%
ECOL,US ECOLOGY INC COM,"1,470 M",47.00,-.06,-0.13%,"3,778,452",46.25,47.50,-2.91,$2.12,29.24%
PDCE,PDC ENERGY INC COM,"5,694 M",58.47,-2.06,-3.40%,"6,163,798",56.19,60.65,.46,$2.09,72.19%
AXTA,AXALTA COATING SYSTEMS LTD COM,"6,413 M",28.20,-1.21,-4.11%,"3,131,643",23.15,32.00,1.14,$2.08,40.90%
TEAM,ATLASSIAN CORPORATION PLC COM CL A,"81,562 M",321.76,-24.40,-7.05%,"1,843,129",311.34,326.00,-2.09,$2.08,66.23%
LUMN,LUMEN TECHNOLOGIES INC COM,"10,331 M",10.09,-.74,-6.83%,"49,941,410",10.11,10.18,1.91,$2.05,49.25%
CADE,CADENCE BANK COM,"6,121 M",31.79,-.12,-0.38%,"1,424,061",28.28,39.74,2.76,$2.03,47.68%
CNR,CORNERSTONE BUILDING BRANDS IN COM,"2,322 M",18.40,-.26,-1.39%,"2,333,680",18.40,19.00,4.92,$2.03,86.44%
CPB,CAMPBELL SOUP CO COM,"13,322 M",44.15,+.96,+2.22%,"2,167,441",33.11,44.15,3.13,$2.00,30.39%
ENPH,ENPHASE ENERGY INC COM,"19,655 M",145.69,-8.95,-5.79%,"3,384,260",144.51,145.50,1.02,$1.99,75.55%
NVDA,NVIDIA CORP COM,"598,725 M",239.49,-18.75,-7.26%,"60,547,198",238.09,238.10,3.245,$1.99,76.45%
JD,JD.COM INC ADR,"114,911 M",73.98,-2.42,-3.17%,"6,673,354",73.51,73.89,2.571,$1.97,64.09%
OSTK,OVERSTOCK COM INC DEL COM,"2,054 M",47.76,-2.13,-4.27%,"1,372,438",47.18,47.75,7.68,$1.96,116.47%
SM,SM ENERGY COMPANY COM,"4,524 M",37.24,+2.14,+6.10%,"2,845,273",37.45,37.46,-4.73,$1.95,98.04%
VSH,VISHAY INTERTECHNOLOGY INC COM,"2,864 M",19.78,+.07,+0.36%,"1,457,593",19.20,24.89,2.05,$1.93,38.25%
SPOT,SPOTIFY TECHNOLOGY S.A. COM,"31,115 M",161.93,-5.90,-3.52%,"2,158,342",161.52,162.74,-1.166,$1.92,67.34%
TROX,TRONOX HOLDINGS PLC COM,"3,470 M",22.55,-1.09,-4.61%,"1,821,030",21.75,22.79,1.56,$1.88,47.02%
INFO,IHS MARKIT LTD COM,"43,799 M",109.75,-2.47,-2.20%,"2,669,657",105.53,137.19,3.01,$1.87,43.51%
BBBY,BED BATH AND BEYOND COM,"1,512 M",15.69,-.41,-2.55%,"4,595,924",15.80,15.95,-3.85,$1.81,106.75%
RF,REGIONS FINANCIAL CORP COM,"23,390 M",24.83,-.09,-0.36%,"11,539,894",18.62,24.92,2.49,$1.80,36.56%
MTG,MGIC INVESTMENT CORP COM,"4,974 M",15.72,-.09,-0.57%,"2,863,570",15.32,16.87,1.85,$1.80,37.05%
TTM,TATA MOTORS LIMITED ADR,"24,659 M",32.20,-1.16,-3.48%,"2,510,984",4.51,34.35,-2.669,$1.79,46.78%
TFC,TRUIST FINANCIAL CORPORATION COM,"84,423 M",63.58,-1.04,-1.61%,"6,068,627",62.99,63.58,4.47,$1.78,33.51%
WU,WESTERN UNION COMPANY (THE) COM,"7,811 M",19.43,+.95,+5.14%,"9,819,208",19.20,19.65,1.97,$1.74,38.87%
BBVA,BANCO BILBAO VIZCAYA ARGENTARI ADR SPONSORED,"39,678 M",6.58,-.33,-4.78%,"7,695,339",6.45,6.68,.7423,$1.73,++
COMM,COMMSCOPE HOLDINGS CO INC COM,"1,824 M",8.92,-.39,-4.19%,"2,486,583",8.45,10.20,-2,$1.73,75.42%
SLB,SCHLUMBERGER LIMITED COM,"57,005 M",40.62,+1.45,+3.70%,"15,533,584",40.64,41.00,1.32,$1.71,50.73%
IRDM,IRIDIUM COMMUNICATIONS INC COM,"4,528 M",34.25,-.20,-0.58%,"1,770,793",34.20,35.00,-.09,$1.70,66.22%
DCP,DCP MIDSTREAM LP COM UNITS LTD PARTNER INT,"6,576 M",31.56,+1.44,+4.78%,"1,342,407",26.30,38.75,1.59,$1.66,55.62%
VVV,VALVOLINE INC COM,"5,759 M",32.11,-1.07,-3.22%,"1,596,917",31.51,36.30,2.3,$1.65,31.29%
TCS,CONTAINER STORE GRP INC (THE) COM,437 M,8.63,+.58,+7.20%,"2,065,727",8.24,8.90,1.98,$1.65,81.96%
LCI,LANNETT CO INC COM,35 M,.8140,-.046,-5.35%,"1,373,893",.0101,.8892,-7.26,$1.61,135.76%
JNPR,JUNIPER NETWORKS COM,"10,945 M",33.99,-.57,-1.65%,"3,276,559",26.00,34.31,.76,$1.60,30.69%
KHC,KRAFT HEINZ CO COM,"42,511 M",34.73,+.44,+1.28%,"7,097,760",34.65,34.86,1.87,$1.57,40.51%
HWM,HOWMET AEROSPACE INC COM,"14,481 M",34.34,-.22,-0.64%,"2,930,454",33.41,35.50,.59,$1.54,45.25%
COUP,COUPA SOFTWARE INCORPORATED COM,"9,733 M",130.33,-4.87,-3.60%,"1,517,997",126.06,140.13,-4.72,$1.54,83.86%
BTI,BRITISH AMERICAN TOBACCO ADR SPONSORED,"106,084 M",46.23,+1.77,+3.98%,"7,507,610",43.00,46.44,3.734,$1.53,28.95%
MKC,MCCORMICK & COMPANY INC COM,"26,954 M",100.75,+.31,+0.31%,"1,322,597",75.56,108.11,2.8,$1.52,28.26%
RTX,RAYTHEON TECH CORP COM,"142,598 M",95.27,+.21,+0.22%,"6,532,903",94.60,96.19,2.56,$1.50,33.18%
AVTR,AVANTOR INC COM,"22,050 M",36.18,-1.28,-3.42%,"4,757,359",27.14,36.48,.85,$1.49,39.04%
CTVA,CORTEVA INC COM,"37,114 M",51.05,+.10,+0.20%,"3,194,816",50.10,51.45,2.37,$1.48,37.16%
SONO,SONOS INC COM,"3,488 M",27.33,-.51,-1.83%,"3,787,680",27.08,27.70,1.13,$1.46,66.94%
PUBM,PUBMATIC INC COM CL A,"1,526 M",29.75,+.07,+0.24%,"1,316,069",29.60,30.00,.9275,$1.46,91.24%
TRGP,TARGA RESOURCES CORPORATION COM,"14,668 M",64.06,+1.93,+3.11%,"1,343,940",3.00,65.67,1.34,$1.45,41.22%
XYL,XYLEM INC COM,"16,099 M",89.24,-2.60,-2.83%,"1,364,366",85.00,92.37,2.35,$1.45,39.66%
MDLZ,MONDELEZ INTL INC COM CL A,"92,601 M",66.70,-.07,-0.10%,"8,130,136",66.14,66.70,3.04,$1.41,24.41%
FUTU,FUTU HOLDINGS LIMITED ADR,"6,722 M",45.83,+.85,+1.89%,"3,494,168",45.73,45.80,2.466,$1.40,96.71%
BOX,BOX INC COM CL A,"3,937 M",26.55,-.79,-2.89%,"1,857,954",26.00,28.00,-.32,$1.38,52.05%
IBN,ICICI BANK LIMITED ADR SPONSORED,"71,781 M",20.67,-.33,-1.57%,"14,054,509",20.50,20.70,.8459,$1.37,29.78%
K,KELLOGG COMPANY COM,"21,837 M",63.85,+.27,+0.42%,"3,529,341",62.00,64.50,4.33,$1.37,23.66%
EQT,EQT CORPORATION COM,"8,622 M",22.93,+1.385,+6.43%,"14,352,656",23.00,23.15,-3.58,$1.34,63.19%
ZG,ZILLOW GROUP INC COM CL A,"13,516 M",53.92,+6.06,+12.66%,"8,236,415",53.84,54.32,-2.11,$1.32,69.47%
HBI,HANESBRANDS INC COM,"5,392 M",15.44,-.38,-2.40%,"4,717,605",15.00,15.44,.22,$1.31,39.48%
CNDT,CONDUENT INC COM,968 M,4.55,-.04,-0.87%,"2,120,367",4.50,4.56,-.05,$1.28,56.66%
WES,WESTERN MIDSTREAM PARTNERS LP COM UNITS REP LTD PTNR INTR,"11,137 M",27.27,+1.17,+4.48%,"8,372,486",26.31,27.74,2.19,$1.25,42.63%
CHGG,CHEGG INC COM,"4,128 M",30.73,-.87,-2.75%,"2,846,317",30.45,30.73,-.01,$1.23,65.10%
SQ,BLOCK INC COM CL A,"61,995 M",107.88,-1.06,-0.97%,"31,484,587",107.70,107.86,1.1,$1.21,103.18%
ADT,ADT INC COM,"6,251 M",7.52,-.23,-2.97%,"1,860,214",7.50,7.80,-1.07,$1.21,67.26%
LEVI,LEVI STRAUSS & COMPANY COM CL A,"8,967 M",22.53,-.91,-3.88%,"1,347,402",20.00,27.00,1.35,$1.19,41.17%
PBCT,PEOPLE'S UNITED FINANCIAL INC COM,"8,969 M",20.96,-.10,-0.47%,"4,667,338",20.26,21.12,1.39,$1.18,40.49%
DBX,DROPBOX INC COM CL A,"9,424 M",24.64,-.52,-2.07%,"2,854,849",24.61,24.94,-.3,$1.18,57.10%
PINS,PINTEREST INC COM CL A,"16,717 M",25.40,-.15,-0.59%,"29,693,711",25.37,27.00,.46,$1.16,76.84%
ONB,OLD NATIONAL BANCORP (INDIANA) COM,"3,088 M",18.62,+.07,+0.38%,"1,681,129",18.26,19.26,1.67,$1.16,<empty>
LNC,LINCOLN NATIONAL CORP COM,"12,930 M",72.97,-1.42,-1.91%,"1,792,305",72.65,73.73,7.43,$1.15,42.96%
PLTK,PLAYTIKA HLDG CORP COM,"7,300 M",17.82,+.03,+0.17%,"1,591,284",17.13,18.50,.689,$1.12,86.63%
FBP,FIRST BANCORP PUERTO RICO COM,"2,975 M",14.74,-.21,-1.40%,"1,258,177",13.00,16.00,1.31,$1.12,44.18%
DBD,DIEBOLD NIXDORF INCORPORATED COM,657 M,8.39,+.43,+5.40%,"2,321,726",8.00,9.13,-1.18,$1.12,67.72%
SLQT,SELECTQUOTE INC COM,484 M,2.95,-.32,-9.79%,"3,633,563",2.95,3.11,-.88,$1.11,188.99%
F,FORD MOTOR CO COM,"70,275 M",17.55,-.53,-2.93%,"94,534,092",17.51,17.52,4.45,$1.10,58.03%
PM,PHILIP MORRIS INTL INC COM,"168,075 M",107.96,+2.89,+2.75%,"8,674,290",107.78,115.00,5.83,$1.10,28.13%
CSX,CSX CORP COM,"74,014 M",33.37,-.62,-1.82%,"12,043,647",33.20,33.36,1.68,$1.09,32.27%
CHX,CHAMPIONX CORPORATION COM,"4,620 M",22.77,+.05,+0.22%,"3,667,364",13.75,23.34,1.06,$1.09,76.73%
DNB,DUN & BRADSTREET HLDGS INC COM,"8,206 M",19.03,-.23,-1.19%,"1,947,357",18.15,20.74,-.1,$1.08,49.08%
BEKE,KE HOLDINGS INC ADR,"25,152 M",21.12,-1.38,-6.13%,"6,308,532",21.05,25.53,.2179,$1.07,95.75%
SNCR,SYNCHRONOSS TECHNOLOGIES INC COM,177 M,2.00,-.13,-6.10%,"1,670,207",2.00,2.08,-1.24,$1.06,78.34%
INMD,INMODE LTD COM,"3,913 M",47.01,-4.33,-8.43%,"2,203,816",47.02,47.03,1.74,$1.06,76.94%
OSCR,OSCAR HEALTH INC COM CL A,"1,409 M",6.70,+.28,+4.36%,"3,787,605",6.75,7.49,-2.692,$1.06,117.43%
DHT,DHT HOLDINGS INC COM,944 M,5.68,+.14,+2.53%,"3,082,044",5.60,5.85,-.07,$1.06,53.90%
IRWD,IRONWOOD PHARMACEUTICALS INC COM CL A,"1,777 M",10.86,-.15,-1.36%,"2,045,835",10.86,11.43,3.24,$1.05,71.71%
ROKU,ROKU INC COM CL A,"22,027 M",163.94,-1.71,-1.03%,"5,120,304",163.40,163.78,2.09,$1.02,97.78%
STM,STMICROELECTRONICS ADR SPONSORED,"39,996 M",44.17,-1.61,-3.52%,"4,179,835",44.04,44.17,2.16,$1.01,47.64%
ARRY,ARRAY TECHNOLOGIES INC COM,"1,339 M",8.99,-.61,-6.35%,"3,790,520",9.00,9.04,-.2721,$1.01,105.69%
GPRO,GOPRO INC COM CL A,"1,365 M",8.75,-.03,-0.34%,"4,181,807",8.75,8.79,2.27,$0.99,60.38%
VLY,VALLEY NATIONAL BANCORP COM,"5,955 M",14.13,+.05,+0.36%,"2,369,712",13.93,14.38,1.12,$0.97,32.39%
SCCO,SOUTHERN COPPER CORPORATION COM,"51,928 M",67.17,-.03,-0.04%,"1,647,653",59.81,67.17,4.39,$0.95,43.53%
TEF,TELEFONICA SA ADR SPONSORED,"27,937 M",4.90,-.05,-1.01%,"3,836,942",4.79,4.88,2.076,$0.95,25.70%
ZI,ZOOMINFO TECHNOLOGIES INC COM CL A,"22,455 M",55.69,-1.26,-2.21%,"3,612,070",55.00,56.90,.02,$0.95,82.98%
HLX,HELIX ENERGY SOLUTIONS GRP INC COM,599 M,3.97,+.23,+6.15%,"1,818,745",3.81,5.25,-.21,$0.94,55.03%
OXY,OCCIDENTAL PETROLEUM CORP COM,"40,143 M",42.98,+2.30,+5.65%,"24,477,906",42.90,43.18,-1.15,$0.93,66.81%
BKR,BAKER HUGHES COMPANY COM CL A,"26,811 M",29.14,+1.70,+6.20%,"10,092,442",29.19,29.50,-.27,$0.92,44.76%
WSC,WILLSCOT MOBILE MINI HLDGS COR COM CL A,"8,466 M",37.94,-.58,-1.51%,"1,369,541",35.00,41.00,.33,$0.92,48.93%
MAT,MATTEL INC COM,"8,454 M",24.13,-.36,-1.47%,"10,482,180",24.10,24.39,2.53,$0.91,41.16%
BL,BLACKLINE INC COM,"4,501 M",76.73,-14.40,-15.80%,"2,606,286",77.01,78.50,-1.64,$0.91,53.47%
FHN,FIRST HORIZON CORPORATION COM,"9,596 M",17.97,-.12,-0.66%,"4,409,158",17.80,22.46,1.74,$0.90,32.28%
KMI,KINDER MORGAN INC COM,"39,772 M",17.54,+.34,+1.98%,"19,778,685",17.45,17.58,.78,$0.90,28.23%
PEP,PEPSICO INC COM,"233,222 M",168.58,+.21,+0.12%,"7,299,574",168.19,168.70,5.49,$0.89,27.39%
RVLV,REVOLVE GROUP INC COM CL A,"4,317 M",59.22,-2.11,-3.44%,"1,594,882",58.01,66.00,1.22,$0.89,101.12%
RIG,TRANSOCEAN LIMITED COM,"2,445 M",3.73,+.13,+3.61%,"21,375,900",3.72,3.75,-.59,$0.89,92.23%
NWSA,NEWS CORP NEW COM CL A,"13,349 M",22.65,-.54,-2.33%,"3,792,771",22.19,23.29,.83,$0.89,54.71%
COHU,COHU INC COM,"1,502 M",30.85,-1.79,-5.48%,"1,275,272",30.73,32.59,3.4,$0.88,63.86%
SFIX,STITCH FIX INC COM CL A,"1,609 M",14.79,-.64,-4.15%,"1,944,010",14.55,14.79,-.19,$0.87,138.85%
NYT,NEW YORK TIMES CO COM CL A,"7,000 M",41.70,+.49,+1.19%,"1,477,966",38.29,45.29,1.31,$0.86,41.05%
HUYA,HUYA INC ADR,"1,391 M",5.86,-.22,-3.62%,"2,190,589",5.85,6.76,.7371,$0.86,85.67%
LESL,LESLIES INC COM,"3,766 M",20.63,-.22,-1.06%,"1,390,606",19.95,21.51,.76,$0.86,55.30%
ERIC,ERICSSON ADR SPONSORED,"41,275 M",12.38,-.09,-0.72%,"6,274,036",12.38,12.50,.7525,$0.85,35.78%
TAK,TAKEDA PHARMACEUTICAL CO LTD ADR SPONSORED,"46,940 M",14.98,-.04,-0.27%,"2,622,388",14.76,15.25,1.209,$0.85,21.23%
UGI,UGI CORP COM,"8,134 M",38.77,-.25,-0.64%,"1,453,880",37.00,40.55,5.02,$0.85,36.51%
ISBC,INVESTORS BANCORP INC COM,"4,256 M",17.16,-.10,-0.58%,"1,723,603",16.77,17.49,1.33,$0.84,50.26%
JCI,JOHNSON CONTROLS INTL PLC COM,"46,673 M",66.45,-1.89,-2.77%,"3,389,270",65.51,66.99,2.19,$0.83,35.40%
ITUB,ITAU UNIBANCO HOLDINGS S.A. ADR SPONSORED,"48,899 M",5.00,+.30,+6.38%,"136,645,831",5.01,5.08,.5482,$0.83,76.60%
GSK,GLAXOSMITHKLINE ADR SPONSORED,"111,486 M",44.30,-.14,-0.32%,"3,150,190",44.26,44.30,2.338,$0.83,22.39%
NLOK,NORTONLIFELOCK INC COM,"17,374 M",29.86,-.50,-1.65%,"5,650,643",29.56,30.10,1.53,$0.82,34.29%
IVZ,INVESCO LTD COM,"10,529 M",22.83,-.57,-2.44%,"5,165,582",21.83,23.15,2.99,$0.82,39.61%
NPTN,NEOPHOTONICS CORP COM,823 M,15.49,-.01,-0.06%,"1,544,603",15.21,18.16,-.81,$0.81,69.34%
WEN,WENDYS COMPANY (THE) COM,"5,061 M",22.94,-.03,-0.13%,"2,051,849",22.36,23.25,.83,$0.81,34.79%
ZS,ZSCALER INC COM,"38,242 M",273.00,-11.10,-3.91%,"2,014,963",272.50,276.87,-2.17,$0.80,77.53%
VCRA,VOCERA COMMUNICATIONS INC COM,"2,766 M",79.15,-.01,-0.01%,"1,341,606",79.15,79.25,-.23,$0.80,22.11%
GFI,GOLD FIELDS LTD ADR SPONSORED,"10,120 M",11.40,+.56,+5.17%,"7,155,909",10.69,11.68,1.06,$0.80,54.33%
GGAL,GRUPO FINANCIERO GALICIA SA ADR SPONSORED,"1,332 M",9.03,-.20,-2.17%,"1,357,731",8.70,9.32,1.197,$0.78,79.37%
XP,XP INC COM,"18,801 M",33.60,+.57,+1.73%,"5,579,841",33.80,36.00,1.123,$0.77,54.88%
AAL,AMERICAN AIRLINES GROUP INC COM,"11,406 M",17.61,-1.10,-5.88%,"50,338,913",17.60,17.68,-3.09,$0.77,65.83%
OCDX,ORTHO CLINICL DIAG HLD PLC COM,"3,954 M",16.67,-.01,-0.06%,"1,980,948",16.10,17.90,-.3628,$0.77,52.37%
DOCU,DOCUSIGN INC COM,"24,236 M",122.48,-4.74,-3.73%,"2,905,144",121.51,122.99,-.59,$0.77,93.31%
HRB,BLOCK (H & R) INC COM,"4,039 M",24.55,-.06,-0.24%,"2,404,295",22.80,25.00,3.08,$0.76,32.87%
LSCC,LATTICE SEMICONDUCTOR COM,"7,734 M",56.48,-2.43,-4.12%,"1,271,300",55.00,58.50,.59,$0.76,77.14%
HRL,HORMEL FOODS CORP COM,"26,000 M",47.92,+.79,+1.68%,"1,764,812",45.02,48.50,1.66,$0.75,32.89%
HAL,HALLIBURTON CO COM,"30,120 M",33.52,+1.11,+3.42%,"12,741,037",33.56,33.72,1.63,$0.75,53.42%
VGR,VECTOR GROUP COM,"1,743 M",11.32,+.11,+0.98%,"1,525,983",11.02,11.75,1.34,$0.74,48.39%
ZEN,ZENDESK INC COM,"14,138 M",116.27,+2.09,+1.83%,"7,319,443",115.00,117.24,-1.87,$0.74,67.12%
MRVL,MARVELL TECHNOLOGY INC COM,"57,370 M",67.99,-5.85,-7.92%,"13,642,776",68.01,68.25,-.52,$0.72,81.59%
FLO,FLOWERS FOODS INC COM,"5,904 M",27.93,-.16,-0.57%,"2,075,383",27.75,29.30,1.05,$0.72,47.12%
HCSG,HEALTHCARE SERVICES GROUP INC COM,"1,192 M",15.99,-.38,-2.32%,"1,431,675",15.57,16.58,.61,$0.71,49.27%
NWL,NEWELL BRANDS INC COM,"10,376 M",24.39,+2.43,+11.07%,"8,209,523",24.38,24.90,1.41,$0.71,37.22%
VIAV,VIAVI SOLUTIONS INC COM,"3,834 M",16.67,-.17,-1.01%,"1,700,677",16.17,17.00,-.1,$0.71,31.98%
GOCO,GOHEALTH INC COM CL A,216 M,1.88,-.11,-5.53%,"3,860,656",1.90,1.92,.1,$0.70,144.47%
KDP,KEURIG DR PEPPER INC COM,"53,925 M",38.03,-.25,-0.65%,"7,005,442",37.93,38.83,1.21,$0.69,26.38%
GLW,CORNING INC COM,"34,752 M",41.87,-.62,-1.46%,"4,232,648",41.60,42.00,1.28,$0.69,34.60%
MGI,MONEYGRAM INTERNATIONAL INC COM,790 M,8.62,-.11,-1.26%,"3,694,704",8.55,8.62,-.38,$0.69,93.11%
XPEL,XPEL INC COM,"1,738 M",62.95,+5.01,+8.65%,"2,853,197",60.00,65.00,1.14,$0.67,67.78%
WELL,WELLTOWER INC COM USD1,"34,870 M",80.11,-.57,-0.71%,"2,597,017",78.50,90.00,1.04,$0.67,34.23%
VIPS,VIPSHOP HLDGS LTD ADR,"6,613 M",9.76,-.17,-1.71%,"4,555,958",9.76,9.90,1.479,$0.65,76.41%
WTI,W & T OFFSHORE INC COM,649 M,4.56,+.35,+8.31%,"4,458,192",4.58,4.60,-.71,$0.65,94.27%
TTD,THE TRADE DESK INC COM CL A,"36,672 M",76.30,-5.84,-7.11%,"9,431,582",76.00,76.30,.565,$0.65,105.34%
UPST,UPSTART HLDGS INC COM,"8,197 M",100.02,-5.98,-5.64%,"6,731,495",99.36,99.99,.9382,$0.63,146.97%
ENLC,ENLINK MIDSTREAM LLC COM UNIT REPSTG LTD LIABILI,"4,387 M",8.99,+.53,+6.26%,"3,142,485",8.90,8.95,-.38,$0.63,84.86%
DT,DYNATRACE INC COM,"12,344 M",43.20,-2.22,-4.89%,"3,835,886",43.20,62.00,.27,$0.61,65.37%
OKTA,OKTA INC COM CL A,"29,829 M",191.77,-4.51,-2.30%,"1,495,613",190.51,193.38,-4.75,$0.61,72.20%
ROIC,RETAIL OPP INVESTS CORP COM STK USD0.0001,"2,227 M",18.34,-.10,-0.54%,"1,798,777",18.32,30.00,.45,$0.60,46.88%
MPLN,MULTIPLAN CORPORATION COM,"2,630 M",4.12,-.01,-0.24%,"2,140,550",4.00,4.19,-.15,$0.59,80.36%
CX,CEMEX S.A.B. DE C.V. ADR SPONSORED,"8,248 M",5.60,+.01,+0.18%,"13,776,693",5.60,5.73,.5,$0.57,58.13%
BGCP,BGC PARTNERS INC COM CL A,"1,567 M",4.25,-.06,-1.39%,"1,269,887",4.17,4.25,.12,$0.55,47.12%
CRWD,CROWDSTRIKE HOLDINGS INC COM CL A,"41,708 M",181.86,-6.02,-3.20%,"3,268,739",179.91,182.97,-.94,$0.54,74.87%
VG,VONAGE HLDGS CORPORATION COM,"5,281 M",20.79,-.08,-0.38%,"9,527,100",20.20,20.90,-.07,$0.51,<empty>
FAST,FASTENAL COM,"29,900 M",51.95,-.91,-1.72%,"4,375,084",51.30,53.10,1.6,$0.50,32.37%
WMB,WILLIAMS COMPANIES INC COM,"37,314 M",30.71,+.57,+1.89%,"10,069,265",30.21,31.26,.82,$0.50,33.39%
